type,ga_weeks,ga_days,L,M,S,p3,p10,p50,p90,p97,-2SD,-1.5SD,±0SD,+1.5SD,+2SD
weight_male_nulliparous,22,0,1.594,446.995,0.122,336,373,447,514,544,328,360,447,525,549
weight_male_nulliparous,22,1,1.591,457.208,0.122,343,382,457,526,556,336,368,457,537,562
weight_male_nulliparous,22,2,1.585,477.633,0.122,359,399,478,549,581,350,385,478,561,587
weight_male_nulliparous,22,3,1.582,487.847,0.122,366,407,488,561,594,358,393,488,573,600
weight_male_nulliparous,22,4,1.575,508.279,0.123,382,424,508,585,619,373,409,508,597,625
weight_male_nulliparous,22,5,1.572,518.499,0.123,389,433,518,597,631,380,417,518,609,638
weight_male_nulliparous,22,6,1.566,538.951,0.123,405,450,539,620,656,395,434,539,634,663
weight_male_nulliparous,23,0,1.563,549.186,0.123,412,458,549,632,669,403,442,549,646,676
weight_male_nulliparous,23,1,1.559,559.427,0.123,420,467,559,644,681,410,450,559,658,689
weight_male_nulliparous,23,2,1.553,579.937,0.123,435,484,580,668,707,425,467,580,682,714
weight_male_nulliparous,23,3,1.550,590.211,0.123,443,493,590,680,719,433,475,590,694,727
weight_male_nulliparous,23,4,1.544,610.811,0.123,458,510,611,704,745,448,491,611,719,753
weight_male_nulliparous,23,5,1.540,621.144,0.123,466,518,621,716,757,455,500,621,731,766
weight_male_nulliparous,23,6,1.534,641.890,0.123,482,535,642,740,783,471,516,642,756,791
weight_male_nulliparous,24,0,1.531,652.311,0.124,489,544,652,752,796,478,525,652,768,804
weight_male_nulliparous,24,1,1.528,662.770,0.124,497,553,663,764,809,486,533,663,780,817
weight_male_nulliparous,24,2,1.521,683.813,0.124,513,570,684,788,835,501,550,684,805,844
weight_male_nulliparous,24,3,1.518,694.405,0.124,521,579,694,801,848,509,558,694,818,857
weight_male_nulliparous,24,4,1.512,715.744,0.124,537,597,716,825,874,525,575,716,843,884
weight_male_nulliparous,24,5,1.509,726.499,0.124,545,606,726,838,887,532,584,726,856,897
weight_male_nulliparous,24,6,1.502,748.195,0.124,561,624,748,863,914,548,601,748,882,924
weight_male_nulliparous,25,0,1.499,759.141,0.124,569,633,759,876,928,556,610,759,895,938
weight_male_nulliparous,25,1,1.496,770.156,0.124,578,642,770,888,941,564,619,770,908,952
weight_male_nulliparous,25,2,1.489,792.401,0.125,594,660,792,914,969,581,637,792,934,979
weight_male_nulliparous,25,3,1.486,803.634,0.125,603,670,804,927,983,589,646,804,948,993
weight_male_nulliparous,25,4,1.479,826.328,0.125,619,689,826,954,1011,605,664,826,975,1022
weight_male_nulliparous,25,5,1.476,837.793,0.125,628,698,838,967,1025,614,673,838,988,1036
weight_male_nulliparous,25,6,1.469,860.962,0.125,645,717,861,994,1054,631,691,861,1016,1065
weight_male_nulliparous,26,0,1.466,872.669,0.125,654,727,873,1008,1068,639,701,873,1030,1080
weight_male_nulliparous,26,1,1.462,884.461,0.125,663,737,884,1022,1083,648,710,884,1044,1095
weight_male_nulliparous,26,2,1.456,908.303,0.125,681,757,908,1049,1112,665,729,908,1072,1125
weight_male_nulliparous,26,3,1.452,920.354,0.125,690,766,920,1063,1127,674,739,920,1087,1140
weight_male_nulliparous,26,4,1.446,944.725,0.126,708,787,945,1092,1157,692,758,945,1116,1170
weight_male_nulliparous,26,5,1.442,957.047,0.126,717,797,957,1106,1173,701,768,957,1131,1186
weight_male_nulliparous,26,6,1.436,981.965,0.126,736,818,982,1135,1204,719,788,982,1160,1217
weight_male_nulliparous,27,0,1.432,994.562,0.126,745,828,995,1150,1219,728,798,995,1175,1233
weight_male_nulliparous,27,1,1.429,1007.252,0.126,754,838,1007,1165,1235,737,808,1007,1191,1249
weight_male_nulliparous,27,2,1.422,1032.908,0.126,773,860,1033,1195,1267,756,829,1033,1221,1281
weight_male_nulliparous,27,3,1.419,1045.874,0.126,783,870,1046,1210,1283,765,839,1046,1237,1298
weight_male_nulliparous,27,4,1.413,1072.086,0.126,803,892,1072,1240,1316,784,860,1072,1268,1331
weight_male_nulliparous,27,5,1.410,1085.330,0.126,812,903,1085,1256,1332,794,870,1085,1284,1347
weight_male_nulliparous,27,6,1.403,1112.095,0.127,832,925,1112,1287,1366,813,892,1112,1316,1381
weight_male_nulliparous,28,0,1.400,1125.617,0.127,842,936,1126,1303,1382,823,903,1126,1332,1398
weight_male_nulliparous,28,1,1.397,1139.232,0.127,853,948,1139,1319,1399,833,913,1139,1348,1415
weight_male_nulliparous,28,2,1.391,1166.743,0.127,873,970,1167,1351,1434,853,935,1167,1381,1450
weight_male_nulliparous,28,3,1.388,1180.639,0.127,883,982,1181,1367,1451,863,946,1181,1398,1467
weight_male_nulliparous,28,4,1.383,1208.717,0.127,904,1005,1209,1400,1486,884,969,1209,1432,1503
weight_male_nulliparous,28,5,1.380,1222.897,0.127,915,1017,1223,1417,1504,894,980,1223,1449,1521
weight_male_nulliparous,28,6,1.374,1251.540,0.127,936,1040,1252,1450,1539,915,1003,1252,1483,1557
weight_male_nulliparous,29,0,1.372,1266.002,0.127,947,1052,1266,1467,1557,925,1014,1266,1500,1575
weight_male_nulliparous,29,1,1.369,1280.557,0.127,958,1064,1281,1484,1576,936,1026,1281,1518,1594
weight_male_nulliparous,29,2,1.364,1309.946,0.128,979,1089,1310,1518,1612,957,1049,1310,1553,1631
weight_male_nulliparous,29,3,1.361,1324.778,0.128,990,1101,1325,1536,1631,968,1061,1325,1571,1649
weight_male_nulliparous,29,4,1.357,1354.717,0.128,1013,1126,1355,1571,1668,990,1085,1355,1607,1687
weight_male_nulliparous,29,5,1.354,1369.822,0.128,1024,1138,1370,1588,1687,1001,1097,1370,1625,1706
weight_male_nulliparous,29,6,1.350,1400.305,0.128,1046,1163,1400,1624,1725,1023,1121,1400,1661,1745
weight_male_nulliparous,30,0,1.348,1415.682,0.128,1058,1176,1416,1642,1744,1034,1133,1416,1680,1764
weight_male_nulliparous,30,1,1.346,1431.147,0.128,1069,1189,1431,1660,1764,1045,1146,1431,1698,1784
weight_male_nulliparous,30,2,1.341,1462.344,0.128,1092,1214,1462,1697,1802,1068,1170,1462,1735,1823
weight_male_nulliparous,30,3,1.339,1478.075,0.128,1104,1227,1478,1715,1822,1079,1183,1478,1754,1843
weight_male_nulliparous,30,4,1.336,1509.797,0.129,1128,1254,1510,1752,1862,1102,1208,1510,1792,1883
weight_male_nulliparous,30,5,1.334,1525.789,0.129,1140,1267,1526,1771,1882,1114,1221,1526,1811,1903
weight_male_nulliparous,30,6,1.330,1558.035,0.129,1163,1293,1558,1809,1922,1137,1247,1558,1850,1944
weight_male_nulliparous,31,0,1.329,1574.289,0.129,1176,1307,1574,1828,1942,1149,1259,1574,1869,1964
weight_male_nulliparous,31,1,1.327,1590.629,0.129,1188,1320,1591,1847,1962,1161,1273,1591,1889,1985
weight_male_nulliparous,31,2,1.324,1623.566,0.129,1212,1348,1624,1885,2003,1185,1299,1624,1928,2027
weight_male_nulliparous,31,3,1.322,1640.159,0.129,1225,1361,1640,1904,2024,1197,1312,1640,1948,2047
weight_male_nulliparous,31,4,1.319,1673.589,0.129,1249,1389,1674,1943,2066,1221,1339,1674,1988,2090
weight_male_nulliparous,31,5,1.318,1690.422,0.129,1262,1403,1690,1963,2086,1233,1352,1690,2008,2111
weight_male_nulliparous,31,6,1.315,1724.316,0.129,1287,1431,1724,2003,2129,1258,1379,1724,2049,2153
weight_male_nulliparous,32,0,1.314,1741.375,0.129,1300,1445,1741,2022,2150,1271,1393,1741,2069,2175
weight_male_nulliparous,32,1,1.312,1758.505,0.129,1313,1459,1759,2042,2171,1283,1407,1759,2090,2196
weight_male_nulliparous,32,2,1.310,1792.972,0.129,1339,1488,1793,2083,2214,1308,1434,1793,2131,2239
weight_male_nulliparous,32,3,1.308,1810.304,0.129,1352,1502,1810,2103,2235,1321,1448,1810,2151,2261
